Day,Pawpaw,Hancock,Shepherdstown,PointOfRocks,LittleFalls
1,4150  ,5060  ,7740,14500,16900
2,7080  ,6250  ,9140,17000,23400
3,11100  ,12800  ,14700,22400,25700
4,10000  ,12600  ,18200,28900,31900
5,8360  ,10500  ,15800,26000,31500
6,7040  ,8700  ,13100,22300,26900
7,6000  ,7360  ,11100,19200,22800
8,5250  ,6380  ,9530,16700,19500
9,4410  ,5590  ,8420,14600,17100
10,3880  ,4780  ,7420,13000,15100
11,3540  ,4320  ,6600,11600,13500
12,3160  ,3910  ,6020,10500,12300
13,2820  ,3520  ,5500,9600,11300
14,2590  ,3170  ,5080,8840,10500
15,2380  ,2990  ,4690,8210,9760
16,2320  ,2760  ,4490,7780,9290
17,2260  ,2740  ,4260,7450,8880
18,2140  ,2610  ,4200,7280,8510
19,2000  ,2450  ,3960,6990,8190
20,1870  ,2250  ,3730,6590,7780
21,1780  ,2120  ,3470,6230,7290
22,1690  ,2000  ,3300,5900,6810
23,1580  ,1880  ,3160,5610,6500
24,1490  ,1760  ,3000,5410,6160
25,1470  ,1670  ,2840,5200,5930
26,1490  ,1680  ,2800,5130,5820
27,1570  ,1700  ,2800,5080,5830
28,2000  ,1860  ,2820,5060,5740
29,2070  ,2330  ,2940,5370,5850
30,1840  ,2190  ,3290,5690,5980
31,1880  ,2040  ,3210,5700,6220
32,1920  ,2070  ,3140,5630,6420
33,1960  ,2160  ,3130,5480,6370
34,1870  ,2160  ,3280,5440,6280
35,1740  ,2020  ,3230,5610,6350
36,1750  ,1950  ,3080,5540,6360
37,1870  ,2030  ,3130,5520,6500
38,2080  ,2300  ,3420,5790,6920
39,2030  ,2450  ,3780,6190,7620
40,1910  ,2340  ,3810,6450,7520
41,1820  ,2220  ,3670,6440,7550
42,1870  ,2180  ,3600,6470,8110
43,1950  ,2220  ,3520,6460,7970
44,2060  ,2320  ,3540,6610,7860
45,2060  ,2420  ,3590,6810,7930
46,2030  ,2390  ,3650,6950,8160
47,2530  ,2730  ,3920,7770,12100
48,4450  ,4380  ,6580,9950,13400
49,4990  ,6330  ,9080,17000,17600
50,4280  ,5650  ,9250,18100,20500
51,3640  ,4870  ,7920,15600,19000
52,3040  ,4070  ,6810,13500,16200
53,2890  ,3600  ,5900,11900,14700
54,3170  ,3570  ,5610,11000,14200
55,6080  ,5350  ,6430,12500,14700
56,10700  ,11700  ,13000,19100,19000
57,11300  ,15700  ,22500,30000,30900
58,9170  ,12600  ,20400,30500,36700
59,13000  ,12600  ,17700,28200,35800
60,41200  ,46600  ,44600,47600,50300
61,32500  ,46200  ,66300,87000,89700
62,19900  ,27200  ,43600,65800,81000
63,14400  ,18500  ,28700,43400,54900
64,10900  ,13700  ,21100,32800,40600
